<http://www.yso.fi/onto/yso/p20595>	laho
<http://www.yso.fi/onto/yso/p17184>	juuri
<http://www.yso.fi/onto/yso/p3327>	levät
<http://www.yso.fi/onto/yso/p12210>	runko
<http://www.yso.fi/onto/yso/p9223>	vauriot
<http://www.yso.fi/onto/yso/p11309>	siemen
<http://www.yso.fi/onto/yso/p90>	sienet
<http://www.yso.fi/onto/yso/p18413>	taimitarhat
<http://www.yso.fi/onto/yso/p8076>	kasvitaudit
<http://www.yso.fi/onto/yso/p21206>	uhat
<http://www.yso.fi/onto/yso/p13879>	metsäpatologia
<http://www.yso.fi/onto/yso/p8147>	puut
<http://www.yso.fi/onto/yso/p3213>	sienitaudit
<http://www.yso.fi/onto/yso/p792>	torjunta
