<http://www.yso.fi/onto/yso/p502>	kotieläimet
<http://www.yso.fi/onto/yso/p2032>	maatiaisrodut
<http://www.yso.fi/onto/yso/p7875>	nautaeläimet
<http://www.yso.fi/onto/yso/p10991>	lehmät
<http://www.yso.fi/onto/yso/p6049>	karjanhoito
<http://www.yso.fi/onto/yso/p18056>	työtoiminta
<http://www.yso.fi/onto/yso/p22136>	eläinavusteinen terapia
<http://www.yso.fi/onto/yso/p26400>	green care
<http://www.yso.fi/onto/yso/p24516>	voimaantuminen
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p21571>	nauta
<http://www.yso.fi/onto/yso/p2181>	hyötykäyttö
<http://www.yso.fi/onto/yso/p26128>	hyvinvointipalvelut
<http://www.yso.fi/onto/yso/p6821>	maatilat
<http://www.yso.fi/onto/yso/p3320>	kuntoutus
<http://www.yso.fi/onto/yso/p17313>	soveltuvuustestit
<http://www.yso.fi/onto/yso/p8109>	muistitieto
<http://www.yso.fi/onto/yso/p1780>	historia
