<http://www.yso.fi/onto/yso/p16060>	sepelvaltimotauti
<http://www.yso.fi/onto/yso/p13277>	riskitekijät
<http://www.yso.fi/onto/yso/p6238>	metabolinen oireyhtymä
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p5590>	aikuiset
<http://www.yso.fi/onto/yso/p15449>	terveysvaikutukset
<http://www.yso.fi/onto/yso/p7384>	fyysinen kunto
<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p135>	jaksaminen
<http://www.yso.fi/onto/yso/p13719>	seurantatutkimus
