<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p411>	sosiaaliset suhteet
<http://www.yso.fi/onto/yso/p1251>	rituaalit
<http://www.yso.fi/onto/yso/p26671>	kehysanalyysi
<http://www.yso.fi/onto/yso/p7886>	kasvot
<http://www.yso.fi/onto/yso/p7831>	kielellinen vuorovaikutus
<http://www.yso.fi/onto/yso/p7139>	sosiaalinen käyttäytyminen
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
