<http://www.yso.fi/onto/yso/p13480>	ekonometria
<http://www.yso.fi/onto/yso/p479>	työhönotto
<http://www.yso.fi/onto/yso/p9607>	työnhakijat
<http://www.yso.fi/onto/yso/p10580>	työnantajat
<http://www.yso.fi/onto/yso/p4412>	työttömyysturva
<http://www.yso.fi/onto/yso/p3542>	työllistyminen
<http://www.yso.fi/onto/yso/p8831>	työmarkkinat
<http://www.yso.fi/onto/yso/p11007>	sähköinen asiointi
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p6624>	verkkopalvelut
<http://www.yso.fi/onto/yso/p11614>	väitöskirjat
