<http://www.yso.fi/onto/yso/p2240>	tiede
<http://www.yso.fi/onto/yso/p13670>	tiedepolitiikka
<http://www.yso.fi/onto/yso/p2011>	tietoyhteiskunta
<http://www.yso.fi/onto/yso/p5473>	koti
<http://www.yso.fi/onto/yso/p476>	kasvatus
<http://www.yso.fi/onto/yso/p9778>	yhteiskunta
<http://www.yso.fi/onto/yso/p11222>	koulunuudistus
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p8790>	opettajuus
<http://www.yso.fi/onto/yso/p4537>	kasvatustiede
<http://www.yso.fi/onto/yso/p13455>	vastakulttuurit
