<http://www.yso.fi/onto/yso/p15765>	koululiikunta
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p894>	urheilulajit
<http://www.yso.fi/onto/yso/p21292>	yläkoulu
<http://www.yso.fi/onto/yso/p2750>	opetusryhmät
<http://www.yso.fi/onto/yso/p3618>	suosikit
<http://www.yso.fi/onto/yso/p11734>	arvosanat
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
