<http://www.yso.fi/onto/yso/p4029>	kauppa
<http://www.yso.fi/onto/yso/p14002>	vähittäiskauppa
<http://www.yso.fi/onto/yso/p5614>	kauppiaat
<http://www.yso.fi/onto/yso/p384>	kyläkaupat
<http://www.yso.fi/onto/yso/p2439>	liiketoiminta
<http://www.yso.fi/onto/yso/p4257>	kannattavuus
<http://www.yso.fi/onto/yso/p13777>	maaseutu
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p5965>	velat
<http://www.yso.fi/onto/yso/p5968>	velkaantuminen
<http://www.yso.fi/onto/yso/p3294>	asiakkaat
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p1779>	paikallishistoriat
