<http://www.yso.fi/onto/yso/p23163>	kulttuurituottajat
<http://www.yso.fi/onto/yso/p14418>	roolit (odotettu käyttäytyminen)
<http://www.yso.fi/onto/yso/p12894>	ammatti-identiteetti
<http://www.yso.fi/onto/yso/p17467>	managerit
<http://www.yso.fi/onto/yso/p8823>	tuottajat
<http://www.yso.fi/onto/yso/p21847>	kulttuurituotanto
<http://www.yso.fi/onto/yso/p4024>	kulttuuritoiminta
<http://www.yso.fi/onto/yso/p6041>	kulttuuriteollisuus
<http://www.yso.fi/onto/yso/p24304>	tapahtumatuotanto
<http://www.yso.fi/onto/yso/p360>	kulttuuritapahtumat
<http://www.yso.fi/onto/yso/p19511>	kulttuuriala
<http://www.yso.fi/onto/yso/p2555>	talous
<http://www.yso.fi/onto/yso/p21183>	taideala
