<http://www.yso.fi/onto/yso/p2573>	englannin kieli
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p21828>	alakoulu
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p16215>	oppimiskokemukset
<http://www.yso.fi/onto/yso/p4835>	oppimisympäristö
<http://www.yso.fi/onto/yso/p21870>	sosiokulttuuriset tekijät
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p14418>	roolit (odotettu käyttäytyminen)
