<http://www.yso.fi/onto/yso/p36>	viestintä
<http://www.yso.fi/onto/yso/p26033>	journalistiikka
<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p13843>	tiedotustutkimus
<http://www.yso.fi/onto/yso/p22817>	teemahaastattelut
<http://www.yso.fi/onto/yso/p5907>	rakenteistumisteoria
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p5575>	uusmedia
<http://www.yso.fi/onto/yso/p856>	joukkoviestimet
<http://www.yso.fi/onto/yso/p1160>	kansalaisjournalismi
<http://www.yso.fi/onto/yso/p21431>	uutisointi
<http://www.yso.fi/onto/yso/p13914>	uutisvälitys
<http://www.yso.fi/onto/yso/p870>	tiedonvälitys
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p23839>	digitointi
<http://www.yso.fi/onto/yso/p8692>	digitalisaatio
<http://www.yso.fi/onto/yso/p1021>	toimittajat
<http://www.yso.fi/onto/yso/p15382>	organisaatiokulttuuri
<http://www.yso.fi/onto/yso/p9004>	ammattikulttuuri
<http://www.yso.fi/onto/yso/p25256>	reaaliaikaisuus
<http://www.yso.fi/onto/yso/p22038>	ajantasaisuus
<http://www.yso.fi/onto/yso/p14179>	konvergenssi
<http://www.yso.fi/onto/yso/p20774>	sosiaalinen media
<http://www.yso.fi/onto/yso/p18331>	toimitustyö
<http://www.yso.fi/onto/yso/p22996>	ansaintalogiikka
<http://www.yso.fi/onto/yso/p2445>	media
