<http://www.yso.fi/onto/yso/p10414>	historiantutkimus
<http://www.yso.fi/onto/yso/p13199>	sotahistoria
<http://www.yso.fi/onto/yso/p15359>	Ruotsin vallan aika
<http://www.yso.fi/onto/yso/p11316>	suuri Pohjan sota
<http://www.yso.fi/onto/yso/p2502>	karoliinit
<http://www.yso.fi/onto/yso/p789>	upseerit
<http://www.yso.fi/onto/yso/p17142>	militarismi
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p219>	maailmankuva
<http://www.yso.fi/onto/yso/p4213>	kunnia
<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p2015>	symbolit
<http://www.yso.fi/onto/yso/p1251>	rituaalit
<http://www.yso.fi/onto/yso/p4006>	ruumiillisuus
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p11449>	patriarkaalisuus
<http://www.yso.fi/onto/yso/p16826>	sotilaskoulutus
<http://www.yso.fi/onto/yso/p476>	kasvatus
