<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p6490>	vanhuus
<http://www.yso.fi/onto/yso/p21627>	kotona asuminen
<http://www.yso.fi/onto/yso/p9002>	sosiaalisuus
<http://www.yso.fi/onto/yso/p15993>	päivätoiminta
<http://www.yso.fi/onto/yso/p4651>	päiväkeskukset
<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi
<http://www.yso.fi/onto/yso/p411>	sosiaaliset suhteet
<http://www.yso.fi/onto/yso/p9000>	ystävyys
<http://www.yso.fi/onto/yso/p6935>	yksinäisyys
