<http://www.yso.fi/onto/yso/p3927>	tietojärjestelmät
<http://www.yso.fi/onto/yso/p11291>	ohjelmistot
<http://www.yso.fi/onto/yso/p4509>	hankinta
<http://www.yso.fi/onto/yso/p7457>	puolustusvoimat
<http://www.yso.fi/onto/yso/p25892>	ketterät menetelmät
<http://www.yso.fi/onto/yso/p26189>	kyberturvallisuus
<http://www.yso.fi/onto/yso/p5479>	tietoturva
<http://www.yso.fi/onto/yso/p21206>	uhat
<http://www.yso.fi/onto/yso/p3601>	suojaus
<http://www.yso.fi/onto/yso/p8776>	sidosryhmät
<http://www.yso.fi/onto/yso/p10727>	osallistuminen
<http://www.yso.fi/onto/yso/p7985>	auditointi
