<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p8245>	pienyritykset
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p14845>	sukupolvenvaihdos
<http://www.yso.fi/onto/yso/p974>	osakkaat
<http://www.yso.fi/onto/yso/p972>	omistajat
<http://www.yso.fi/onto/yso/p1075>	työntekijät
<http://www.yso.fi/onto/yso/p13202>	psykodynamiikka
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p277>	muutos
<http://www.yso.fi/onto/yso/p1725>	luottamus
