<http://www.yso.fi/onto/yso/p1631>	kielitiede
<http://www.yso.fi/onto/yso/p6270>	herätysliikkeet
<http://www.yso.fi/onto/yso/p1253>	uskonnolliset tilaisuudet
<http://www.yso.fi/onto/yso/p5605>	uskonnolliset yhteisöt
<http://www.yso.fi/onto/yso/p17711>	uskonelämä
<http://www.yso.fi/onto/yso/p14004>	keskustelu
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p9984>	raamatuntulkinta
<http://www.yso.fi/onto/yso/p3551>	rukoileminen
<http://www.yso.fi/onto/yso/p7289>	uskonnollinen kirjallisuus
<http://www.yso.fi/onto/yso/p16697>	tekstit
<http://www.yso.fi/onto/yso/p18727>	yhteisöllinen oppiminen
<http://www.yso.fi/onto/yso/p6415>	uskonto (uskominen)
<http://www.yso.fi/onto/yso/p21766>	uskonnollinen kieli
<http://www.yso.fi/onto/yso/p7569>	instituutiot
<http://www.yso.fi/onto/yso/p15545>	sosiaaliset instituutiot
<http://www.yso.fi/onto/yso/p22876>	uskonnollinen identiteetti
