<http://www.yso.fi/onto/yso/p2335>	toimijuus
<http://www.yso.fi/onto/yso/p7374>	arkielämä
<http://www.yso.fi/onto/yso/p13126>	elämäntilanne
<http://www.yso.fi/onto/yso/p21627>	kotona asuminen
<http://www.yso.fi/onto/yso/p21189>	palvelujärjestelmät
<http://www.yso.fi/onto/yso/p26128>	hyvinvointipalvelut
<http://www.yso.fi/onto/yso/p22037>	muistisairaudet
<http://www.yso.fi/onto/yso/p1711>	dementia
<http://www.yso.fi/onto/yso/p8412>	Alzheimerin tauti
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p6490>	vanhuus
