<http://www.yso.fi/onto/yso/p2607>	muisti (kognitio)
<http://www.yso.fi/onto/yso/p13858>	muistelu
<http://www.yso.fi/onto/yso/p5935>	kollektiivinen muisti
<http://www.yso.fi/onto/yso/p4130>	sota (toiminta)
<http://www.yso.fi/onto/yso/p18863>	nostalgia
<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p4691>	vaikeneminen
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p8904>	talvisota
<http://www.yso.fi/onto/yso/p5943>	jatkosota
<http://www.yso.fi/onto/yso/p94426>	Suomi
