<http://www.yso.fi/onto/yso/p15327>	nuoruus
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p5398>	nuortenkirjallisuus
<http://www.yso.fi/onto/yso/p476>	kasvatus
<http://www.yso.fi/onto/yso/p1039>	ihanteet
<http://www.yso.fi/onto/yso/p1041>	esikuvat
<http://www.yso.fi/onto/yso/p1045>	hyvä elämä
<http://www.yso.fi/onto/yso/p23828>	kirjastolaitos
<http://www.yso.fi/onto/yso/p4545>	mentaliteettihistoria
<http://www.yso.fi/onto/yso/p2336>	arkistot
<http://www.yso.fi/onto/yso/p9877>	arvonmääritys
<http://www.yso.fi/onto/yso/p11811>	seulonta
