<http://www.yso.fi/onto/yso/p10564>	ammattikorkeakoulut
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p8790>	opettajuus
<http://www.yso.fi/onto/yso/p11260>	työkulttuuri
<http://www.yso.fi/onto/yso/p15382>	organisaatiokulttuuri
<http://www.yso.fi/onto/yso/p8543>	työyhteisöt
<http://www.yso.fi/onto/yso/p13419>	sitoutuminen
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p5570>	verkostot
<http://www.yso.fi/onto/yso/p6140>	sosialisaatio
<http://www.yso.fi/onto/yso/p277>	muutos
