<http://www.yso.fi/onto/yso/p7017>	taiteilijat
<http://www.yso.fi/onto/yso/p7530>	kuvataiteilijat
<http://www.yso.fi/onto/yso/p8311>	luovuus
<http://www.yso.fi/onto/yso/p5056>	ikääntyminen
<http://www.yso.fi/onto/yso/p470>	vanheneminen
<http://www.yso.fi/onto/yso/p19313>	ikäsyrjintä
<http://www.yso.fi/onto/yso/p1263>	eläkkeet
<http://www.yso.fi/onto/yso/p21183>	taideala
<http://www.yso.fi/onto/yso/p1888>	taidepolitiikka
<http://www.yso.fi/onto/yso/p13671>	kulttuuripolitiikka
<http://www.yso.fi/onto/yso/p18037>	sosiaaligerontologia
