<http://www.yso.fi/onto/yso/p5001>	modernismi
<http://www.yso.fi/onto/yso/p10504>	symbolismi
<http://www.yso.fi/onto/yso/p17473>	moderni
<http://www.yso.fi/onto/yso/p5600>	muotokuvat
<http://www.yso.fi/onto/yso/p5599>	omakuvat
<http://www.yso.fi/onto/yso/p1632>	psykologia
<http://www.yso.fi/onto/yso/p5870>	psykoanalyysi
<http://www.yso.fi/onto/yso/p1579>	objekti
<http://www.yso.fi/onto/yso/p11648>	sairaus
<http://www.yso.fi/onto/yso/p2762>	terveys
<http://www.yso.fi/onto/yso/p9742>	minä
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p19845>	taidehistoria
<http://www.yso.fi/onto/yso/p2880>	kieli
<http://www.yso.fi/onto/yso/p2267>	käsitteet
<http://www.yso.fi/onto/yso/p3517>	metafora
<http://www.yso.fi/onto/yso/p7017>	taiteilijat
<http://www.yso.fi/onto/yso/p22794>	itse
