<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p29216>	vähemmistökirjallisuus
<http://www.yso.fi/onto/yso/p1365>	lyriikka
<http://www.yso.fi/onto/yso/p4678>	kirjallisuuden kieli
<http://www.yso.fi/onto/yso/p4677>	kielikuvat
<http://www.yso.fi/onto/yso/p3405>	teemat
<http://www.yso.fi/onto/yso/p9931>	saamelaisuus
<http://www.yso.fi/onto/yso/p11537>	saamelaiset
<http://www.yso.fi/onto/yso/p1407>	representaatio
<http://www.yso.fi/onto/yso/p24860>	saamelaiskulttuuri
<http://www.yso.fi/onto/yso/p11536>	etninen identiteetti
<http://www.yso.fi/onto/yso/p5737>	alkuperäiskansat
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p3490>	runoilijat
<http://www.yso.fi/onto/yso/p10422>	nykyperinne
<http://www.yso.fi/onto/yso/p16349>	käännökset
