<http://www.yso.fi/onto/yso/p3116>	itsemurhaiskut
<http://www.yso.fi/onto/yso/p3119>	terrorismi
<http://www.yso.fi/onto/yso/p22849>	islamismi
<http://www.yso.fi/onto/yso/p17092>	radikalismi
<http://www.yso.fi/onto/yso/p5738>	separatismi
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p20170>	palestiinalaiset
<http://www.yso.fi/onto/yso/p106051>	Libanon
<http://www.yso.fi/onto/yso/p105162>	Israel
<http://www.yso.fi/onto/yso/p105196>	Sri Lanka
<http://www.yso.fi/onto/yso/p105500>	Palestiina
