<http://www.yso.fi/onto/yso/p20043>	hoivayrittäjät
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p3059>	maaseutuyrittäjät
<http://www.yso.fi/onto/yso/p4734>	motivaatio
<http://www.yso.fi/onto/yso/p13916>	sosiaaliala
<http://www.yso.fi/onto/yso/p26126>	terveysala
<http://www.yso.fi/onto/yso/p133>	stressi
<http://www.yso.fi/onto/yso/p10214>	työkyky
<http://www.yso.fi/onto/yso/p1831>	työtyytyväisyys
<http://www.yso.fi/onto/yso/p1835>	työhyvinvointi
<http://www.yso.fi/onto/yso/p1181>	yritystoiminta
