<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p1490>	mielikuvat
<http://www.yso.fi/onto/yso/p25701>	televisiosarjat
<http://www.yso.fi/onto/yso/p27510>	draamasarjat
<http://www.yso.fi/onto/yso/p20830>	omistajuus
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p9695>	hermeneutiikka
<http://www.yso.fi/onto/yso/p10982>	tapaustutkimus
<http://www.yso.fi/onto/yso/p14612>	sisällönanalyysi
