<http://www.yso.fi/onto/yso/p7232>	lonkka
<http://www.yso.fi/onto/yso/p12334>	nivelrikko
<http://www.yso.fi/onto/yso/p19217>	tekonivelet
<http://www.yso.fi/onto/yso/p10515>	fysioterapia
<http://www.yso.fi/onto/yso/p842>	leikkaushoito
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taide)
<http://www.yso.fi/onto/yso/p178>	ohjaus (neuvominen)
<http://www.yso.fi/onto/yso/p1911>	ohjaus (suuntaaminen)
<http://www.yso.fi/onto/yso/p3166>	etiikka
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p848>	postoperatiivinen hoito
<http://www.yso.fi/onto/yso/p851>	preoperatiivinen hoito
<http://www.yso.fi/onto/yso/p3320>	kuntoutus
