<http://www.yso.fi/onto/yso/p8674>	tanssikasvatus
<http://www.yso.fi/onto/yso/p1278>	tanssi
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p11440>	kulttuurikasvatus
<http://www.yso.fi/onto/yso/p24516>	voimaantuminen
<http://www.yso.fi/onto/yso/p11114>	toiseus
<http://www.yso.fi/onto/yso/p21700>	transnationaalisuus
<http://www.yso.fi/onto/yso/p12354>	flamenco (tanssi)
<http://www.yso.fi/onto/yso/p12500>	flamenco (perinnemusiikki)
<http://www.yso.fi/onto/yso/p19065>	itämainen tanssi
<http://www.yso.fi/onto/yso/p18741>	tanssinopettajat
<http://www.yso.fi/onto/yso/p10699>	harrastajat
