<http://www.yso.fi/onto/yso/p1826>	seksuaalisuus
<http://www.yso.fi/onto/yso/p13777>	maaseutu
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p7138>	normit
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p19707>	aviorikokset
<http://www.yso.fi/onto/yso/p3962>	aviottomat lapset
<http://www.yso.fi/onto/yso/p2790>	avioliitto
<http://www.yso.fi/onto/yso/p2796>	kihlaus
<http://www.yso.fi/onto/yso/p8835>	kirkko (ilmiöt)
<http://www.yso.fi/onto/yso/p15654>	käräjät
<http://www.yso.fi/onto/yso/p94207>	Keski-Suomi
<http://www.yso.fi/onto/yso/p94209>	Keuruu
<http://www.yso.fi/onto/yso/p106246>	Multia
