<http://www.yso.fi/onto/yso/p13843>	tiedotustutkimus
<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p13933>	freelance-työntekijät
<http://www.yso.fi/onto/yso/p4898>	ammatillistuminen
<http://www.yso.fi/onto/yso/p21453>	työnkuva
<http://www.yso.fi/onto/yso/p1161>	journalismi
<http://www.yso.fi/onto/yso/p11782>	kvalitatiivinen tutkimus
<http://www.yso.fi/onto/yso/p12939>	otanta
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p6157>	työsopimukset
<http://www.yso.fi/onto/yso/p9539>	työsuhde
<http://www.yso.fi/onto/yso/p11260>	työkulttuuri
<http://www.yso.fi/onto/yso/p10773>	hinnoittelu
<http://www.yso.fi/onto/yso/p2346>	tekijänoikeus
<http://www.yso.fi/onto/yso/p16488>	toimeksianto
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p4458>	asiakassuhde
