<http://www.yso.fi/onto/yso/p36>	viestintä
<http://www.yso.fi/onto/yso/p2494>	puheviestintä
<http://www.yso.fi/onto/yso/p7831>	kielellinen vuorovaikutus
<http://www.yso.fi/onto/yso/p6911>	esikouluikäiset
<http://www.yso.fi/onto/yso/p71>	kiusaaminen
<http://www.yso.fi/onto/yso/p12877>	vertaisryhmät
<http://www.yso.fi/onto/yso/p26335>	vertaissuhteet
<http://www.yso.fi/onto/yso/p6444>	sosiaaliset taidot
<http://www.yso.fi/onto/yso/p1650>	varhaiskasvatus
<http://www.yso.fi/onto/yso/p6140>	sosialisaatio
<http://www.yso.fi/onto/yso/p6138>	sosiaalinen kehitys
<http://www.yso.fi/onto/yso/p14765>	ryhmädynamiikka
<http://www.yso.fi/onto/yso/p13203>	ryhmäkäyttäytyminen
