<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p15704>	aktiivisuus
<http://www.yso.fi/onto/yso/p7637>	suositukset
<http://www.yso.fi/onto/yso/p20879>	ystävät
<http://www.yso.fi/onto/yso/p4736>	motivointi
<http://www.yso.fi/onto/yso/p2043>	liikuntaseurat
<http://www.yso.fi/onto/yso/p6140>	sosialisaatio
<http://www.yso.fi/onto/yso/p1758>	tukimuodot
