<http://www.yso.fi/onto/yso/p15416>	alkiolaisuus
<http://www.yso.fi/onto/yso/p216>	ideologiat
<http://www.yso.fi/onto/yso/p8958>	puolueet
<http://www.yso.fi/onto/yso/p11255>	keskustapuolueet
<http://www.yso.fi/onto/yso/p12636>	valtiopäivät (istuntokaudet)
<http://www.yso.fi/onto/yso/p7047>	valtiopäivät (kansanedustuslaitokset)
<http://www.yso.fi/onto/yso/p12226>	eduskuntaryhmät
<http://www.yso.fi/onto/yso/p454>	politiikka
<http://www.yso.fi/onto/yso/p10536>	tasavaltalaisuus
<http://www.yso.fi/onto/yso/p7555>	maatalousyhteiskunta
<http://www.yso.fi/onto/yso/p7700>	maaseutuväestö
<http://www.yso.fi/onto/yso/p4657>	talonpojat
<http://www.yso.fi/onto/yso/p6270>	herätysliikkeet
<http://www.yso.fi/onto/yso/p13777>	maaseutu
