<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p4>	kaunokirjallisuus
<http://www.yso.fi/onto/yso/p8970>	kirjailijat
<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p11597>	elämäkerrat
<http://www.yso.fi/onto/yso/p1896>	romaanit
<http://www.yso.fi/onto/yso/p15374>	henkilökuvaus
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p928>	sukupuoliroolit
<http://www.yso.fi/onto/yso/p929>	naiseus
<http://www.yso.fi/onto/yso/p9137>	mieheys
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p11173>	naiskuva
<http://www.yso.fi/onto/yso/p9138>	mieskuva
<http://www.yso.fi/onto/yso/p8113>	kirjallisuus
<http://www.yso.fi/onto/yso/p24663>	vastaanotto (reseptio)
<http://www.yso.fi/onto/yso/p94426>	Suomi
