<http://www.yso.fi/onto/yso/p1520>	kansanedustajat
<http://www.yso.fi/onto/yso/p11090>	eduskuntatyö
<http://www.yso.fi/onto/yso/p7468>	puheet (tuotokset)
<http://www.yso.fi/onto/yso/p470>	vanheneminen
<http://www.yso.fi/onto/yso/p5056>	ikääntyminen
<http://www.yso.fi/onto/yso/p2434>	vanhukset
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p1797>	asuminen
<http://www.yso.fi/onto/yso/p5473>	koti
<http://www.yso.fi/onto/yso/p8290>	kunnalliskodit
<http://www.yso.fi/onto/yso/p8289>	vanhainkodit
<http://www.yso.fi/onto/yso/p281>	vanhustenhuoltolaitokset
