<http://www.yso.fi/onto/yso/p1149>	kuvat
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p9695>	hermeneutiikka
<http://www.yso.fi/onto/yso/p6089>	magia
<http://www.yso.fi/onto/yso/p7027>	astrologia
<http://www.yso.fi/onto/yso/p24903>	talismaanit
<http://www.yso.fi/onto/yso/p530>	okkultismi
<http://www.yso.fi/onto/yso/p4979>	renessanssi
<http://www.yso.fi/onto/yso/p3744>	ikonografia
<http://www.yso.fi/onto/yso/p3745>	ikonologia
<http://www.yso.fi/onto/yso/p7312>	uusplatonismi
<http://www.yso.fi/onto/yso/p6804>	semantiikka
<http://www.yso.fi/onto/yso/p4510>	symboliikka
<http://www.yso.fi/onto/yso/p219>	maailmankuva
<http://www.yso.fi/onto/yso/p7312>	uusplatonismi
