<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p8998>	sosiaalinen pääoma
<http://www.yso.fi/onto/yso/p3901>	varallisuus
<http://www.yso.fi/onto/yso/p9327>	aineeton pääoma
<http://www.yso.fi/onto/yso/p4320>	investoinnit
<http://www.yso.fi/onto/yso/p23448>	aineettomat investoinnit
<http://www.yso.fi/onto/yso/p20274>	talonpoikaissääty
<http://www.yso.fi/onto/yso/p18010>	tilalliset
<http://www.yso.fi/onto/yso/p4657>	talonpojat
<http://www.yso.fi/onto/yso/p9460>	velkasuhteet
<http://www.yso.fi/onto/yso/p7700>	maaseutuväestö
<http://www.yso.fi/onto/yso/p16224>	rahoituslaitokset
<http://www.yso.fi/onto/yso/p16223>	rahoitusyhtiöt
<http://www.yso.fi/onto/yso/p16674>	rahoitusjärjestelmät
<http://www.yso.fi/onto/yso/p16572>	markkinatalous
<http://www.yso.fi/onto/yso/p2554>	rahatalous
<http://www.yso.fi/onto/yso/p9460>	velkasuhteet
<http://www.yso.fi/onto/yso/p13681>	vaihtokauppa
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p411>	sosiaaliset suhteet
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p21050>	naapuriapu
<http://www.yso.fi/onto/yso/p7138>	normit
<http://www.yso.fi/onto/yso/p8562>	kotitaloudet (organisaatiot)
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p2538>	valtio (julkisyhteisöt)
<http://www.yso.fi/onto/yso/p8835>	kirkko (ilmiöt)
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94107>	Etelä-Pohjanmaa
<http://www.yso.fi/onto/yso/p105253>	Ilmajoki
<http://www.yso.fi/onto/yso/p94383>	Ruotsi
<http://www.yso.fi/onto/yso/p201211>	Nordmaling
