<http://www.yso.fi/onto/yso/p7196>	tytöt
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p12279>	äidit
<http://www.yso.fi/onto/yso/p10867>	aviovaimot
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p11216>	koulu (ilmiöt)
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p26448>	sukupuolentutkimus
<http://www.yso.fi/onto/yso/p105078>	Yhdysvallat
