<http://www.yso.fi/onto/yso/p3999>	luokanopettajat
<http://www.yso.fi/onto/yso/p12928>	työhönsijoittuminen
<http://www.yso.fi/onto/yso/p6137>	sopeutuminen
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p303>	perehdyttäminen
<http://www.yso.fi/onto/yso/p298>	mentorointi
<http://www.yso.fi/onto/yso/p8997>	sosiaalinen tuki
<http://www.yso.fi/onto/yso/p13158>	ammatillinen kehitys
<http://www.yso.fi/onto/yso/p7482>	kokemusoppiminen
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
