<http://www.yso.fi/onto/yso/p3446>	rahapelit
<http://www.yso.fi/onto/yso/p14483>	pelaaminen
<http://www.yso.fi/onto/yso/p19045>	pokeri
<http://www.yso.fi/onto/yso/p5572>	uhkapelit
<http://www.yso.fi/onto/yso/p10700>	ammattilaiset
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p1407>	representaatio
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p9116>	työntutkimus
<http://www.yso.fi/onto/yso/p21065>	feministinen tutkimus
<http://www.yso.fi/onto/yso/p14168>	mediatutkimus
