<http://www.yso.fi/onto/yso/p15607>	museologia
<http://www.yso.fi/onto/yso/p14028>	etnografia
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p8475>	kulttuuriperintö
<http://www.yso.fi/onto/yso/p7037>	perinne
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
<http://www.yso.fi/onto/yso/p21468>	kulttuurisemiotiikka
<http://www.yso.fi/onto/yso/p17213>	intertekstuaalisuus
<http://www.yso.fi/onto/yso/p13428>	tutkimusmatkat
<http://www.yso.fi/onto/yso/p5977>	matkakertomukset
<http://www.yso.fi/onto/yso/p28772>	perinteenkerääjät
<http://www.yso.fi/onto/yso/p6549>	valinta
<http://www.yso.fi/onto/yso/p2327>	kulttuuriympäristö
<http://www.yso.fi/onto/yso/p4880>	suomalaisuus
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94180>	Kainuu
