<http://www.yso.fi/onto/yso/p1631>	kielitiede
<http://www.yso.fi/onto/yso/p17005>	toinen kieli
<http://www.yso.fi/onto/yso/p10956>	kaksikielisyys
<http://www.yso.fi/onto/yso/p10957>	äidinkieli (kieli)
<http://www.yso.fi/onto/yso/p1535>	äidinkieli (oppiaineet)
<http://www.yso.fi/onto/yso/p8856>	suomen kieli
<http://www.yso.fi/onto/yso/p7831>	kielellinen vuorovaikutus
<http://www.yso.fi/onto/yso/p2492>	puhe (ilmiöt)
<http://www.yso.fi/onto/yso/p14004>	keskustelu
<http://www.yso.fi/onto/yso/p2683>	korjaus
<http://www.yso.fi/onto/yso/p1855>	sanaton viestintä
<http://www.yso.fi/onto/yso/p24663>	vastaanotto (reseptio)
<http://www.yso.fi/onto/yso/p8090>	toiminta
<http://www.yso.fi/onto/yso/p7010>	merkitys (filosofia)
<http://www.yso.fi/onto/yso/p24061>	kielen oppiminen
<http://www.yso.fi/onto/yso/p7374>	arkielämä
<http://www.yso.fi/onto/yso/p9239>	huumori
