<http://www.yso.fi/onto/yso/p18764>	leskeys
<http://www.yso.fi/onto/yso/p2830>	lesket
<http://www.yso.fi/onto/yso/p17808>	menetys
<http://www.yso.fi/onto/yso/p12279>	äidit
<http://www.yso.fi/onto/yso/p12508>	äitiys
<http://www.yso.fi/onto/yso/p17963>	suru
<http://www.yso.fi/onto/yso/p11867>	selviytyminen
<http://www.yso.fi/onto/yso/p4363>	perheet (ryhmät)
<http://www.yso.fi/onto/yso/p22039>	arki
<http://www.yso.fi/onto/yso/p16436>	perhesuhteet
<http://www.yso.fi/onto/yso/p22036>	hyvinvointi (terveydellinen)
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi (taloudellinen)
