<http://www.yso.fi/onto/yso/p3387>	toisen asteen koulutus
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p15979>	nuoret aikuiset
<http://www.yso.fi/onto/yso/p11768>	opiskelijahuolto
<http://www.yso.fi/onto/yso/p11769>	koulukuraattorit
<http://www.yso.fi/onto/yso/p27623>	nuorisotakuu
<http://www.yso.fi/onto/yso/p8917>	syrjäytyminen
<http://www.yso.fi/onto/yso/p14004>	keskustelu
<http://www.yso.fi/onto/yso/p15052>	ehkäisevä sosiaalityö
<http://www.yso.fi/onto/yso/p22648>	kuraattorit
<http://www.yso.fi/onto/yso/p16705>	varhainen puuttuminen
<http://www.yso.fi/onto/yso/p563>	retoriikka
<http://www.yso.fi/onto/yso/p6804>	semantiikka
<http://www.yso.fi/onto/yso/p12814>	argumentointi
<http://www.yso.fi/onto/yso/p249>	koulutuspolitiikka
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p506>	hallinta
<http://www.yso.fi/onto/yso/p17817>	diskurssi
