<http://www.yso.fi/onto/yso/p23894>	johtajat
<http://www.yso.fi/onto/yso/p8420>	johtajuus
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p23197>	finanssiala
<http://www.yso.fi/onto/yso/p1427>	toimialat
<http://www.yso.fi/onto/yso/p277>	muutos
<http://www.yso.fi/onto/yso/p854>	vastuu
<http://www.yso.fi/onto/yso/p1725>	luottamus
<http://www.yso.fi/onto/yso/p12913>	muutosjohtaminen
<http://www.yso.fi/onto/yso/p5767>	strateginen johtaminen
<http://www.yso.fi/onto/yso/p94426>	Suomi
