<http://www.yso.fi/onto/yso/p1490>	mielikuvat
<http://www.yso.fi/onto/yso/p11169>	julkisuuskuva
<http://www.yso.fi/onto/yso/p11173>	naiskuva
<http://www.yso.fi/onto/yso/p929>	naiseus
<http://www.yso.fi/onto/yso/p6423>	ulkonäkö
<http://www.yso.fi/onto/yso/p10140>	professionalismi
<http://www.yso.fi/onto/yso/p5165>	isänmaallisuus
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p1407>	representaatio
<http://www.yso.fi/onto/yso/p216>	ideologiat
<http://www.yso.fi/onto/yso/p20540>	lehdistökirjoittelu
<http://www.yso.fi/onto/yso/p94479>	Venäjä
