<http://www.yso.fi/onto/yso/p282>	päiväkodit
<http://www.yso.fi/onto/yso/p4917>	erityislastentarhanopettajat
<http://www.yso.fi/onto/yso/p4918>	lastentarhanopettajat
<http://www.yso.fi/onto/yso/p24955>	sosioemotionaaliset taidot
<http://www.yso.fi/onto/yso/p1650>	varhaiskasvatus
<http://www.yso.fi/onto/yso/p9653>	erityispäivähoito
<http://www.yso.fi/onto/yso/p6915>	leikki-ikäiset
<http://www.yso.fi/onto/yso/p10573>	käyttäytymishäiriöt
<http://www.yso.fi/onto/yso/p18355>	inkluusio
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p10727>	osallistuminen
<http://www.yso.fi/onto/yso/p26335>	vertaissuhteet
<http://www.yso.fi/onto/yso/p1050>	opettaja-oppilassuhde
<http://www.yso.fi/onto/yso/p14028>	etnografia
