<http://www.yso.fi/onto/yso/p2699>	valokuvat
<http://www.yso.fi/onto/yso/p27512>	valokuvailmaisu
<http://www.yso.fi/onto/yso/p17020>	kuvallinen ilmaisu
<http://www.yso.fi/onto/yso/p11231>	yhteisötaide
<http://www.yso.fi/onto/yso/p10504>	symbolismi (taidesuuntaus)
<http://www.yso.fi/onto/yso/p5457>	taidekasvatus
<http://www.yso.fi/onto/yso/p4110>	lavastus
<http://www.yso.fi/onto/yso/p272>	organisaatiot
<http://www.yso.fi/onto/yso/p26879>	taidepajat
<http://www.yso.fi/onto/yso/p1979>	valokuvaus
<http://www.yso.fi/onto/yso/p9979>	paikka
