<http://www.yso.fi/onto/yso/p5302>	oppimisvaikeudet
<http://www.yso.fi/onto/yso/p5301>	lukihäiriöt
<http://www.yso.fi/onto/yso/p5303>	dysleksia
<http://www.yso.fi/onto/yso/p11405>	lukutaito
<http://www.yso.fi/onto/yso/p11408>	kirjoitustaito
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p14361>	riskiryhmät
<http://www.yso.fi/onto/yso/p8799>	perhetausta
<http://www.yso.fi/onto/yso/p13735>	lapsuus
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p6984>	erityisopetus
<http://www.yso.fi/onto/yso/p23025>	fonologinen tietoisuus
