<http://www.yso.fi/onto/yso/p6548>	ammatinvalinta
<http://www.yso.fi/onto/yso/p3125>	huolenpito
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p15327>	nuoruus
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taide)
<http://www.yso.fi/onto/yso/p178>	ohjaus (neuvominen)
<http://www.yso.fi/onto/yso/p1911>	ohjaus (suuntaaminen)
<http://www.yso.fi/onto/yso/p3387>	toisen asteen koulutus
<http://www.yso.fi/onto/yso/p21130>	siirtymävaihe
<http://www.yso.fi/onto/yso/p24847>	sosiaalinen vahvistaminen
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
