<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p20871>	kokemuksellisuus
<http://www.yso.fi/onto/yso/p4242>	subjektiivisuus
<http://www.yso.fi/onto/yso/p8329>	tehokkuus
<http://www.yso.fi/onto/yso/p5864>	tuloksellisuus
<http://www.yso.fi/onto/yso/p25469>	työteho
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p1075>	työntekijät
<http://www.yso.fi/onto/yso/p8543>	työyhteisöt
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p272>	organisaatiot (järjestelmät)
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p5196>	estetiikka
<http://www.yso.fi/onto/yso/p7104>	julkinen sektori
<http://www.yso.fi/onto/yso/p22039>	arki
<http://www.yso.fi/onto/yso/p24516>	voimaantuminen
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p9871>	intuitio
<http://www.yso.fi/onto/yso/p1938>	aistit
<http://www.yso.fi/onto/yso/p8511>	mielikuvitus
<http://www.yso.fi/onto/yso/p4487>	rationaalisuus
<http://www.yso.fi/onto/yso/p4490>	järki
<http://www.yso.fi/onto/yso/p25413>	vastakohdat
<http://www.yso.fi/onto/yso/p17923>	sosiaalinen konstruktivismi
<http://www.yso.fi/onto/yso/p16750>	kriittinen teoria
<http://www.yso.fi/onto/yso/p12236>	postmodernismi
<http://www.yso.fi/onto/yso/p14904>	dekonstruktio
<http://www.yso.fi/onto/yso/p2977>	fenomenologia
