<http://www.yso.fi/onto/yso/p8900>	toinen maailmansota
<http://www.yso.fi/onto/yso/p4815>	mielisairaalat
<http://www.yso.fi/onto/yso/p4816>	psykiatriset sairaalat
<http://www.yso.fi/onto/yso/p8436>	evakuointi
<http://www.yso.fi/onto/yso/p8437>	väestönsiirrot
<http://www.yso.fi/onto/yso/p5889>	psykiatriset potilaat
<http://www.yso.fi/onto/yso/p26446>	väistötilat
<http://www.yso.fi/onto/yso/p3918>	säännöstely
<http://www.yso.fi/onto/yso/p734>	poikkeusolot
<http://www.yso.fi/onto/yso/p2807>	sairaanhoito
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p105768>	Joutseno
