<http://www.yso.fi/onto/yso/p8646>	kirjeet
<http://www.yso.fi/onto/yso/p4844>	kirjeenvaihto
<http://www.yso.fi/onto/yso/p15099>	kenttäposti
<http://www.yso.fi/onto/yso/p8900>	toinen maailmansota
<http://www.yso.fi/onto/yso/p5943>	jatkosota
<http://www.yso.fi/onto/yso/p13199>	sotahistoria
<http://www.yso.fi/onto/yso/p15145>	sota-aika
<http://www.yso.fi/onto/yso/p4130>	sota (toiminta)
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p25374>	olosuhteet
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p6895>	kerronta
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p5131>	rakkaus
<http://www.yso.fi/onto/yso/p928>	sukupuoliroolit
<http://www.yso.fi/onto/yso/p128>	väsymys
<http://www.yso.fi/onto/yso/p25755>	vieraus
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
