<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p2049>	merenkulku
<http://www.yso.fi/onto/yso/p1920>	vesiliikenne
<http://www.yso.fi/onto/yso/p4317>	sisävesiliikenne
<http://www.yso.fi/onto/yso/p8078>	kauppamerenkulku
<http://www.yso.fi/onto/yso/p15216>	proomut
<http://www.yso.fi/onto/yso/p16317>	höyrylaivat
<http://www.yso.fi/onto/yso/p11799>	varustamot
<http://www.yso.fi/onto/yso/p4617>	laivanvarustus
<http://www.yso.fi/onto/yso/p13227>	henkilöliikenne
<http://www.yso.fi/onto/yso/p5724>	uitto
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94180>	Kainuu
