<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p9240>	parodia
<http://www.yso.fi/onto/yso/p9241>	satiiri
<http://www.yso.fi/onto/yso/p5086>	salapoliisikirjallisuus
<http://www.yso.fi/onto/yso/p15286>	poliittinen historia
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p17213>	intertekstuaalisuus
<http://www.yso.fi/onto/yso/p23891>	kontekstuaalisuus
<http://www.yso.fi/onto/yso/p4187>	yhteiskuntakuvaus
<http://www.yso.fi/onto/yso/p1826>	seksuaalisuus
<http://www.yso.fi/onto/yso/p20828>	sukupuolisuus
<http://www.yso.fi/onto/yso/p216>	ideologiat
<http://www.yso.fi/onto/yso/p25824>	autofiktio
<http://www.yso.fi/onto/yso/p105269>	Kuuba
