<http://www.yso.fi/onto/yso/p12623>	erityisoppilaat
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p9793>	tunne-elämän häiriöt
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p10573>	käyttäytymishäiriöt
<http://www.yso.fi/onto/yso/p8291>	päihdeongelmat
<http://www.yso.fi/onto/yso/p6985>	erityiskasvatus
<http://www.yso.fi/onto/yso/p6984>	erityisopetus
<http://www.yso.fi/onto/yso/p19049>	erityisluokat
<http://www.yso.fi/onto/yso/p28737>	erityinen tuki
<http://www.yso.fi/onto/yso/p3320>	kuntoutus
<http://www.yso.fi/onto/yso/p943>	moniammatillisuus
<http://www.yso.fi/onto/yso/p16881>	hoitoketjut
