<http://www.yso.fi/onto/yso/p8856>	suomen kieli
<http://www.yso.fi/onto/yso/p24613>	suomi toisena kielenä
<http://www.yso.fi/onto/yso/p2395>	kielioppi
<http://www.yso.fi/onto/yso/p6804>	semantiikka
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p12741>	kirjallinen ilmaisu
<http://www.yso.fi/onto/yso/p18258>	passiivi
<http://www.yso.fi/onto/yso/p16786>	persoonapronominit
<http://www.yso.fi/onto/yso/p10163>	kielen omaksuminen
<http://www.yso.fi/onto/yso/p11302>	kielenkäyttö
