<http://www.yso.fi/onto/yso/p6454>	teollinen muotoilu
<http://www.yso.fi/onto/yso/p12966>	lasiteollisuus
<http://www.yso.fi/onto/yso/p4968>	lasiesineet
<http://www.yso.fi/onto/yso/p18946>	käyttöesineet
<http://www.yso.fi/onto/yso/p6290>	astiat
<http://www.yso.fi/onto/yso/p5878>	markkinointi
<http://www.yso.fi/onto/yso/p6726>	mainokset
<http://www.yso.fi/onto/yso/p5001>	modernismi
<http://www.yso.fi/onto/yso/p8963>	funktionalismi
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p94426>	Suomi
