<http://www.yso.fi/onto/yso/p10258>	kasvatushistoria
<http://www.yso.fi/onto/yso/p17103>	kirjallisuudenhistoria
<http://www.yso.fi/onto/yso/p8193>	kirjallisuuspolitiikka
<http://www.yso.fi/onto/yso/p20298>	kriittinen pedagogiikka
<http://www.yso.fi/onto/yso/p12012>	lastenkirjailijat
<http://www.yso.fi/onto/yso/p4742>	lastenkirjallisuus
<http://www.yso.fi/onto/yso/p14395>	luova kirjoittaminen
<http://www.yso.fi/onto/yso/p5398>	nuortenkirjallisuus
<http://www.yso.fi/onto/yso/p14774>	tekijyys
<http://www.yso.fi/onto/yso/p8477>	traditio
<http://www.yso.fi/onto/yso/p24663>	vastaanotto (reseptio)
