<http://www.yso.fi/onto/yso/p5056>	ikääntyminen
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p649>	liikkuminen
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p2434>	vanhukset
<http://www.yso.fi/onto/yso/p5003>	kuolleisuus
<http://www.yso.fi/onto/yso/p2710>	sydäntaudit
<http://www.yso.fi/onto/yso/p9886>	sydän- ja verisuonitaudit
<http://www.yso.fi/onto/yso/p15095>	terveysliikunta
<http://www.yso.fi/onto/yso/p10017>	tupakointi
<http://www.yso.fi/onto/yso/p8393>	alkoholinkäyttö
