<http://www.yso.fi/onto/yso/p5612>	huvitilaisuudet
<http://www.yso.fi/onto/yso/p6939>	vapaa-ajantoiminnat
<http://www.yso.fi/onto/yso/p18003>	kulttuuriharrastukset
<http://www.yso.fi/onto/yso/p6405>	kansalaisjärjestöt
<http://www.yso.fi/onto/yso/p16449>	nuorisoseurat
<http://www.yso.fi/onto/yso/p12796>	palokunnat
<http://www.yso.fi/onto/yso/p5114>	naisjärjestöt
<http://www.yso.fi/onto/yso/p20051>	työväenyhdistykset
<http://www.yso.fi/onto/yso/p12030>	raittiusseurat
<http://www.yso.fi/onto/yso/p12170>	vapaa sivistystyö
<http://www.yso.fi/onto/yso/p16885>	kansalaisyhteiskunta
<http://www.yso.fi/onto/yso/p6315>	sääty-yhteiskunta
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
<http://www.yso.fi/onto/yso/p94207>	Keski-Suomi
