<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p14395>	luova kirjoittaminen
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p6731>	tunneäly
<http://www.yso.fi/onto/yso/p642>	kognitio
<http://www.yso.fi/onto/yso/p9315>	luova toiminta
<http://www.yso.fi/onto/yso/p1236>	palaute
<http://www.yso.fi/onto/yso/p8311>	luovuus
<http://www.yso.fi/onto/yso/p6729>	lahjakkuus
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p8498>	konstruktivismi
<http://www.yso.fi/onto/yso/p19153>	kirjoittajakoulutus
<http://www.yso.fi/onto/yso/p1780>	historia
