<http://www.yso.fi/onto/yso/p1056>	filosofia
<http://www.yso.fi/onto/yso/p2746>	kasvatusfilosofia
<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p6275>	oikeudenmukaisuus
<http://www.yso.fi/onto/yso/p2402>	ihmisoikeudet
<http://www.yso.fi/onto/yso/p18327>	ihmisarvo
<http://www.yso.fi/onto/yso/p1045>	hyvä elämä
<http://www.yso.fi/onto/yso/p14270>	kristillisyys
<http://www.yso.fi/onto/yso/p20531>	dialoginen filosofia
<http://www.yso.fi/onto/yso/p14209>	pluralismi
<http://www.yso.fi/onto/yso/p3830>	teologia
