<http://www.yso.fi/onto/yso/p11797>	kappelit
<http://www.yso.fi/onto/yso/p8025>	arkkitehtuuri
<http://www.yso.fi/onto/yso/p4510>	symboliikka
<http://www.yso.fi/onto/yso/p17963>	suru
<http://www.yso.fi/onto/yso/p626>	kuolema
<http://www.yso.fi/onto/yso/p2977>	fenomenologia
<http://www.yso.fi/onto/yso/p20871>	kokemuksellisuus
<http://www.yso.fi/onto/yso/p4006>	ruumiillisuus
<http://www.yso.fi/onto/yso/p7432>	tila
<http://www.yso.fi/onto/yso/p9979>	paikka
<http://www.yso.fi/onto/yso/p7009>	merkitykset (tieto)
